t,line
4099.9733,MEAS ms=113769 seq=3552 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.9992,MEAS ms=113789 seq=3553 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.9993,MEAS ms=113797 seq=3554 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.9993,MEAS ms=113806 seq=3555 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.0346,MEAS ms=113815 seq=3556 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.0347,MEAS ms=113824 seq=3557 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.0347,MEAS ms=113832 seq=3558 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.0347,MEAS ms=113841 seq=3559 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.0982,MEAS ms=113850 seq=3560 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.0982,MEAS ms=113859 seq=3561 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.0982,MEAS ms=113869 seq=3562 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.2784,MEAS ms=113914 seq=3563 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.2785,MEAS ms=113959 seq=3564 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.2785,MEAS ms=114004 seq=3565 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.2785,MEAS ms=114049 seq=3566 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.4132,MEAS ms=114094 seq=3567 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.4132,MEAS ms=114139 seq=3568 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.4132,MEAS ms=114184 seq=3569 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4100.5310,MEAS ms=114229 seq=3570 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.5311,MEAS ms=114274 seq=3571 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.5311,MEAS ms=114319 seq=3572 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.5311,MEAS ms=114339 seq=3573 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.5584,MEAS ms=114347 seq=3574 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.5585,MEAS ms=114356 seq=3575 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.5585,MEAS ms=114365 seq=3576 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
